fips,geo_name,state_abb,type,population_2020,n,lng,lat
24003,anne arundel,MD,County,588261,153,-76.60335105,39.0057724
24025,harford,MD,County,260924,153,-76.31717004,39.56126248
34015,gloucester,NJ,County,302294,153,-75.14071747,39.71694144
24005,baltimore,MD,County,854535,151,-76.63603021,39.4596552
22051,jefferson,LA,County,440781,149,-90.11275154,29.74131251
29189,st. louis,MO,County,1004125,149,-90.44344187,38.64048457
06059,orange,CA,County,3186989,148,-117.760976,33.70311134
12057,hillsborough,FL,County,1459762,146,-82.30867294,27.92948052
26147,st. clair,MI,County,160383,145,-82.68083292,42.93188855
34029,ocean,NJ,County,637229,145,-74.28147189,39.88494891
34025,monmouth,NJ,County,643615,144,-74.22051128,40.2606812
06017,el dorado,CA,County,191185,141,-120.5247066,38.77888901
34031,passaic,NJ,County,524118,139,-74.30115633,41.03446344
47157,shelby,TN,County,929744,139,-89.89620223,35.18412715
36063,niagara,NY,County,212666,138,-78.7453209,43.20013175
36111,ulster,NY,County,181851,133,-74.25878826,41.888126
34001,atlantic,NJ,County,274534,132,-74.66040811,39.47790545
36079,putnam,NY,County,97668,132,-73.74940843,41.42650368
51153,prince william,VA,County,482204,131,-77.48028729,38.70276099
06073,san diego,CA,County,3298634,130,-116.7353982,33.03386576
06085,santa clara,CA,County,1936259,130,-121.6951016,37.23169965
47009,blount,TN,County,135280,130,-83.92484736,35.68735498
24033,prince george's,MD,County,967201,129,-76.84739072,38.8299677
39035,cuyahoga,OH,County,1264817,129,-81.6587538,41.42426021
42077,lehigh,PA,County,374557,129,-75.59214444,40.61280627
34005,burlington,NJ,County,461860,128,-74.6680045,39.87782133
06071,san bernardino,CA,County,2181654,127,-116.1783784,34.84157876
34021,mercer,NJ,County,387340,125,-74.70164497,40.28339139
55139,winnebago,WI,County,171730,124,-88.64477096,44.06886922
34011,cumberland,NJ,County,154152,123,-75.11135485,39.37323951
36065,oneida,NY,County,232125,123,-75.4358883,43.24167426
53061,snohomish,WA,County,827957,123,-121.6977603,48.04772437
12099,palm beach,FL,County,1492191,122,-80.46503899,26.64741122
42095,northampton,PA,County,312951,122,-75.30735363,40.75446063
41051,multnomah,OR,County,815428,121,-122.4157429,45.54693681
08123,weld,CO,County,328981,120,-104.3930144,40.55487277
13121,fulton,GA,County,1066710,120,-84.46714878,33.79038574
37147,pitt,NC,County,170243,120,-77.37489067,35.59325583
26049,genesee,MI,County,406211,119,-83.70652806,43.02216976
32031,washoe,NV,County,486492,119,-119.6643222,40.66566815
47125,montgomery,TN,County,220069,119,-87.38247263,36.49650951
12011,broward,FL,County,1944375,118,-80.48723143,26.15220703
24045,wicomico,MD,County,103588,118,-75.62218411,38.37287229
36075,oswego,NY,County,117525,118,-76.14177407,43.42718293
12095,orange,FL,County,1429908,117,-81.32311592,28.51429239
36091,saratoga,NY,County,235509,117,-73.86394518,43.10743063
48453,travis,TX,County,1290188,117,-97.78169164,30.33471479
06045,mendocino,CA,County,91601,116,-123.3914743,39.44027921
10001,kent,DE,County,181851,116,-75.56844621,39.08639126
17179,tazewell,IL,County,131343,116,-89.51334003,40.50758831
34037,sussex,NJ,County,144221,116,-74.69082533,41.13935722
06087,santa cruz,CA,County,270861,115,-122.0017742,37.0561908
34027,morris,NJ,County,509285,115,-74.54440839,40.86163004
47149,rutherford,TN,County,341486,115,-86.41692683,35.84260355
06097,sonoma,CA,County,488863,114,-122.8872965,38.52842052
37081,guilford,NC,County,541299,113,-79.78852575,36.07964464
06007,butte,CA,County,211632,112,-121.6008508,39.66681952
06109,tuolumne,CA,County,55620,112,-119.9551317,38.02748982
06029,kern,CA,County,909235,111,-118.72959,35.34292819
06069,san benito,CA,County,64209,110,-121.0752215,36.60559815
37071,gaston,NC,County,227943,110,-81.18014844,35.29432138
47163,sullivan,TN,County,158163,110,-82.30419555,36.51291546
06079,san luis obispo,CA,County,282424,109,-120.4042917,35.38707354
19163,scott,IA,County,174669,109,-90.62318822,41.63706131
26093,livingston,MI,County,193866,109,-83.9117077,42.60389287
36089,st. lawrence,NY,County,108505,109,-75.06907698,44.49647794
20209,wyandotte,KS,County,169245,108,-94.76482929,39.11438143
37183,wake,NC,County,1129410,108,-78.65050164,35.78982367
45019,charleston,SC,County,408235,108,-79.95226654,32.83417041
55105,rock,WI,County,163687,108,-89.0712802,42.67118649
06025,imperial,CA,County,179702,107,-115.3657218,33.03935669
06033,lake,CA,County,68163,107,-122.7532352,39.0996887
29183,st. charles,MO,County,405262,107,-90.67411979,38.78248212
45079,richland,SC,County,416147,107,-80.90384361,34.02226754
06023,humboldt,CA,County,136463,106,-123.8755258,40.69940115
06039,madera,CA,County,156255,106,-119.7624357,37.21825802
06053,monterey,CA,County,439035,106,-121.2387503,36.21711865
06077,san joaquin,CA,County,779233,106,-121.2712102,37.9345275
37021,buncombe,NC,County,269452,106,-82.53035424,35.6112775
45041,florence,SC,County,137059,106,-79.70224581,34.02447241
13089,dekalb,GA,County,764382,105,-84.22665212,33.77122192
